Question,Expected Answer,Source Link 
"Which agency computes and publishes USD/INR, EUR/INR, GBP/INR, JPY/INR reference rates since 10 July 2018?",Financial Benchmarks India Private Limited (FBIL).,
What happens to joint deposit accounts held by the same persons in the same order for insurance cover under DICGC if more than one such account exists?,"The balances across all such accounts are aggregated and insured up to the  Rs 1,00,000 limit.",
What is the maximum deposit insurance cover per depositor under DICGC in case of bank failure?,"₹ 1,00,000(One Lakh Rupees)."," ₹ 1,00,000"
Are 25 paise and 50 paise coins legal tender in India?,Yes - they are valid legal tender and may be used for transactions.,
Under what act does the RBI issue banknotes?,"Under Section 22 of the Reserve Bank of India Act, 1934.",
For education loans up to what amount do banks not require collateral security?,Banks must not mandatorily obtain collateral security for educational loans up to ‚ ₹ 4 lakh.,
Name two presses that print banknotes in India.,"Currency Note Press, Nashik Road; Bank Note Press, Dewas.",
What are some of the mints of Government of India for coin production?,"Mints: Mumbai, Kolkata (Alipore), Noida, Hyderabad (Cherlapally).",
What conditions make a mutilated banknote ineligible for refund under RBI Note Refund Rules?,Banknote is less than half its area or lacks intact numbering panels.,
Where can mutilated or soiled banknotes be exchanged?,At RBI offices or designated bank branches; may also be sent by post.,
Do joint accounts with names in different order receive separate deposit insurance?,"Yes, they are treated as different capacity/right and insured separately up to ‚ ₹ 1,00,000 each.",
What kind of currency-related RTI queries are disclosed by RBI?,"Features of banknotes/coins, presses/mints, dimensions, etc.",
Which model did RBI forward to banks for education loans?,Model Education Loan Scheme prepared by Indian Banks' Association (IBA).,
"What is the RBI Master Direction code for MSME lending guidelines (as of June 11, 2024)?",FIDD.MSME & NFS.12/06.02.31/2017-18.,
How are banknotes supplied to branches from presses?,RBI remits notes to currency chests; chests distribute to branches.,
Where can one access historical currency reference rates on RBI website?,RBI website -> Reference Rates ->Archives.,
How should excess pension payments be handled by banks?,Excess should be refunded to Govt account; bank to contact sanctioning authority.,
Where can one find data on priority sector lending by banks?,RBI's Database on Indian Economy ->Statistical Tables ->Table No. 4.,
"Under Kisan Credit Card scheme, up to what loan amount can be given without collateral?","Up to  ₹ 3 lakh with recovery tie-up, without insisting on collateral.",
